"SITUACAO_CC","DURACAO_EMPRESTIMO","HISTORICO_CREDITO","PROPOSITO","TOTAL_CREDITO","POUPANCA","EMPREGADO_DESDE","TAXA_PAGTO","GENERO_ESTADO_CIVIL","DEVEDOR_FIADOR","ANOS_RESIDENCIA","BENS","IDADE","OUTROS_EMPRESTIMOS","HABITACAO","CREDITOS_EXISTENTES","TRABALHO","Number of people being liable to provide maintenance for","TELEFONE","TRABALHADOR_ESTRANGEIRO","Score"
"0 - 200",12,"créditos existentes pagos devidamente até agora","carro (novo)",1318,"mais de 1000","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",54,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",54,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",15945,"menos de 100","menos de 1 ano",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",58,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","Educação",2012,"desconhecido/sem conta poupança","4 a 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",61,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","negócios",2622,"100 a 500","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",34,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",36,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",2337,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",36,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",20,"atraso no pagamento no passado","carro (usado)",7057,"desconhecido/sem conta poupança","4 a 7 anos",3,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",36,"banco","aluguel",2,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (novo)",1469,"100 a 500","mais de 7 anos",4,"homem (casado/viúvo)","Nenhum",4,"imóvel",41,"Nenhum","aluguel",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"0 - 200",36,"créditos existentes pagos devidamente até agora","rádio/televisão",2323,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",24,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",6,"atraso no pagamento no passado","rádio/televisão",932,"menos de 100","1 a 4 anos",3,"mulher (divorciada/separada/casada)","Nenhum",2,"imóvel",24,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",9,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",1919,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",3,"carro ou outro",35,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","carro (usado)",2445,"desconhecido/sem conta poupança","menos de 1 ano",2,"homem (casado/viúvo)","Nenhum",4,"carro ou outro",26,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",24,"conta crítica/outros créditos existentes (não neste banco)","outros",11938,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","co-requerente",3,"carro ou outro",39,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",18,"todos os créditos neste banco foram devidamente pagos","carro (novo)",6458,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",39,"banco","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",12,"créditos existentes pagos devidamente até agora","carro (novo)",6078,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",32,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",7721,"desconhecido/sem conta poupança","menos de 1 ano",1,"mulher (divorciada/separada/casada)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",30,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Não","bom"
"0 - 200",14,"créditos existentes pagos devidamente até agora","negócios",1410,"500 a 1000","mais de 7 anos",1,"homem (casado/viúvo)","Nenhum",2,"imóvel",35,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",6,"atraso no pagamento no passado","negócios",1449,"100 a 500","mais de 7 anos",1,"homem (divorciado/separado)","Nenhum",2,"carro ou outro",31,"banco","próprio",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Acima de 200",15,"créditos existentes pagos devidamente até agora","Educação",392,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",23,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","carro (novo)",6260,"menos de 100","4 a 7 anos",3,"masculino (solteiro)","Nenhum",3,"imóvel",28,"Nenhum","aluguel",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",36,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",7855,"menos de 100","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"imóvel",25,"lojas","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",12,"créditos existentes pagos devidamente até agora","rádio/televisão",1680,"500 a 1000","mais de 7 anos",3,"homem (casado/viúvo)","Nenhum",1,"imóvel",35,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",48,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",3578,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",1,"imóvel",47,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",42,"créditos existentes pagos devidamente até agora","rádio/televisão",7174,"desconhecido/sem conta poupança","4 a 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",3,"carro ou outro",30,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",10,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",2132,"desconhecido/sem conta poupança","menos de 1 ano",2,"mulher (divorciada/separada/casada)","co-requerente",3,"imóvel",27,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"Nenhum","Não","bom"
"Negativa",33,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",4281,"500 a 1000","1 a 4 anos",1,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",23,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",2366,"500 a 1000","4 a 7 anos",3,"homem (divorciado/separado)","Nenhum",3,"carro ou outro",36,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",21,"créditos existentes pagos devidamente até agora","rádio/televisão",1835,"menos de 100","1 a 4 anos",3,"mulher (divorciada/separada/casada)","Nenhum",2,"imóvel",25,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",3868,"menos de 100","mais de 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",41,"Nenhum","aluguel",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","móveis/equipamentos",1768,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",2,"imóvel",24,"Nenhum","aluguel",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Acima de 200",10,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",781,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",63,"Nenhum","de graça",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","móveis/equipamentos",1924,"desconhecido/sem conta poupança","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",3,"imóvel",27,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",2121,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",30,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","rádio/televisão",701,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","Nenhum",2,"imóvel",40,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","reparos",639,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",30,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",12,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",1860,"menos de 100","Desempregado",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",34,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",3499,"menos de 100","1 a 4 anos",3,"mulher (divorciada/separada/casada)","co-requerente",2,"imóvel",29,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",48,"créditos existentes pagos devidamente até agora","carro (novo)",8487,"desconhecido/sem conta poupança","4 a 7 anos",1,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",24,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",36,"atraso no pagamento no passado","Educação",6887,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",29,"lojas","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",15,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2708,"menos de 100","menos de 1 ano",2,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",27,"banco","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","móveis/equipamentos",1984,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",47,"banco","de graça",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",60,"créditos existentes pagos devidamente até agora","rádio/televisão",10144,"100 a 500","4 a 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",21,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1240,"desconhecido/sem conta poupança","mais de 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"imóvel",38,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",27,"atraso no pagamento no passado","carro (usado)",8613,"mais de 1000","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",27,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",766,"500 a 1000","1 a 4 anos",4,"masculino (solteiro)","Nenhum",3,"imóvel",66,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"0 - 200",15,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",2728,"desconhecido/sem conta poupança","4 a 7 anos",4,"masculino (solteiro)","fiador",2,"imóvel",35,"banco","próprio",3,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Acima de 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",1881,"menos de 100","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",44,"Nenhum","aluguel",1,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Acima de 200",6,"créditos existentes pagos devidamente até agora","carro (novo)",709,"mais de 1000","menos de 1 ano",2,"homem (casado/viúvo)","Nenhum",2,"imóvel",27,"Nenhum","próprio",1,"desempregado / não qualificado - não residente",1,"Nenhum","Não","bom"
"0 - 200",36,"créditos existentes pagos devidamente até agora","rádio/televisão",4795,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",1,"desconhecido/sem propriedade",30,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",27,"créditos existentes pagos devidamente até agora","rádio/televisão",3416,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",2,"carro ou outro",27,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","bom"
"Negativa",18,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2462,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",22,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",21,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",2288,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",23,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",48,"todos os créditos neste banco foram devidamente pagos","negócios",3566,"100 a 500","4 a 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",30,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",6,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",860,"menos de 100","mais de 7 anos",1,"mulher (divorciada/separada/casada)","Nenhum",4,"desconhecido/sem propriedade",39,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",682,"100 a 500","4 a 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",3,"carro ou outro",51,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",36,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",5371,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","fiador",2,"contrato de poupança/seguro de vida da sociedade de construção",28,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
